city,locality,h3index,poiCode,val_trans
Mumbai,Andheri West,89608b092a3ffff,400053,10.805936046162712
Mumbai,Andheri West,89608b46c4fffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46cd7ffff,400053,10.500481569553482
Mumbai,Andheri West,89608b09073ffff,400053,10.41025358036872
Mumbai,Andheri West,89608b092b3ffff,400053,10.625517484500895
Mumbai,Andheri West,89608b46cd3ffff,400053,10.945826235805756
Mumbai,Andheri West,89608b461a3ffff,400053,11.140712419604492
Mumbai,Andheri West,89608b0906fffff,400053,11.461012885384507
Mumbai,Andheri West,89608b092abffff,400053,10.929761255199843
Mumbai,Andheri West,89608b09047ffff,400053,10.528154602305442
Mumbai,Andheri West,89608b46c13ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46123ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46cdbffff,400053,10.805348956464625
Mumbai,Andheri West,89608b46c1bffff,400053,10.497420105808022
Mumbai,Andheri West,89608b09217ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b0907bffff,400053,10.893236355642502
Mumbai,Andheri West,89608b0904fffff,400053,10.807575828677068
Mumbai,Andheri West,89608b09287ffff,400053,10.709821100084675
Mumbai,Andheri West,89608b46127ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46ccbffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46137ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b093dbffff,400053,11.480844034106235
Mumbai,Andheri West,89608b46c9bffff,400053,10.701268112651528
Mumbai,Andheri West,89608b46e83ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46c0bffff,400053,10.36341995894764
Mumbai,Andheri West,89608b09063ffff,400053,10.490276878015994
Mumbai,Andheri West,89608b093c7ffff,400053,10.597472478029756
Mumbai,Andheri West,89608b09263ffff,400053,10.964952720557546
Mumbai,Andheri West,89608b46e97ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46c53ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46c4bffff,400053,10.36341995894764
Mumbai,Andheri West,89608b0926bffff,400053,10.753175303427213
Mumbai,Andheri West,89608b0927bffff,400053,10.962395998962107
Mumbai,Andheri West,89608b09067ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b46c43ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b461b3ffff,400053,11.21975714890266
Mumbai,Andheri West,89608b46167ffff,400053,10.36341995894764
Mumbai,Andheri West,89608b092bbffff,400053,11.876034085063145
Mumbai,Andheri West,89608b46e9bffff,400053,10.36341995894764
Mumbai,Andheri West,89608b461afffff,400053,11.221703329460471
Mumbai,Andheri West,89608b09267ffff,400053,10.578446460821155
Mumbai,Andheri West,89608b0926fffff,400053,11.253812530737958
Mumbai,Andheri West,89608b461bbffff,400053,11.796037202404051
Mumbai,Andheri West,89608b0928fffff,400053,10.702837435533253
Mumbai,Andheri West,89608b092b7ffff,400053,10.699369045790313
Mumbai,Andheri West,89608b461abffff,400053,11.84337072563986
Mumbai,Andheri West,89608b46c8bffff,400053,10.36341995894764
Mumbai,Goregaon West,89608b4618fffff,400102,9.921781684786998
Mumbai,Goregaon West,89608b4619bffff,400102,10.037860150368369
Mumbai,Andheri West,89608b0928bffff,400102,11.496473194048624
Mumbai,Andheri West,89608b092cfffff,400102,11.489960700153622
Mumbai,Andheri West,89608b09213ffff,400102,12.722117336201507
Mumbai,Andheri West,89608b0921bffff,400102,11.536014712957504
Mumbai,Andheri West,89608b09257ffff,400102,11.496611757751147
Mumbai,Andheri West,89608b09293ffff,400102,10.423084559682477
Mumbai,Andheri West,89608b09667ffff,400102,10.193242315306557
Mumbai,Andheri West,89608b092c7ffff,400102,12.020978082489684
Mumbai,Jogeshwari West,89608b092d7ffff,400102,10.416440406844975
Mumbai,Jogeshwari West,89608b46507ffff,400102,10.306131836686887
Mumbai,Jogeshwari West,89608b465abffff,400102,10.111334736505773
Mumbai,Jogeshwari West,89608b0925bffff,400102,10.268092885148857
Mumbai,Jogeshwari West,89608b46537ffff,400102,10.068035924667122
Mumbai,Jogeshwari West,89608b46183ffff,400102,10.017739855440022
Mumbai,Jogeshwari West,89608b46533ffff,400102,10.322099110679703
Mumbai,Jogeshwari West,89608b0966fffff,400102,10.107742130135412
Mumbai,Jogeshwari West,89608b09247ffff,400102,12.37516670433638
Mumbai,Jogeshwari West,89608b46197ffff,400102,10.30996075203998
Mumbai,Jogeshwari West,89608b46573ffff,400102,9.921781684786998
Mumbai,Jogeshwari West,89608b46563ffff,400102,10.302701849969791
Mumbai,Jogeshwari West,89608b46187ffff,400102,11.01826557479721
Mumbai,Jogeshwari West,89608b465a3ffff,400102,10.67125756354244
Mumbai,Jogeshwari West,89608b46193ffff,400102,10.181236623978451
Mumbai,Jogeshwari West,89608b46527ffff,400102,10.182530467707386
Mumbai,Jogeshwari West,89608b4652bffff,400102,10.133866668547958
Mumbai,Jogeshwari West,89608b465a7ffff,400102,10.03837224231393
Mumbai,Jogeshwari West,89608b4650fffff,400102,10.32070171709792
Mumbai,Jogeshwari West,89608b092c3ffff,400102,10.06458313823494
Mumbai,Jogeshwari West,89608b09253ffff,400102,11.328686420882848
Mumbai,Jogeshwari West,89608b0924fffff,400102,11.021472256535567
Mumbai,Jogeshwari West,89608b46523ffff,400102,10.367730636278639
Mumbai,Jogeshwari West,89608b092d3ffff,400102,10.084658677413572
Mumbai,Jogeshwari West,89608b092dbffff,400102,10.096220055017454
Mumbai,Jogeshwari West,89608b465afffff,400102,11.304850305806099
Mumbai,Jogeshwari West,89608b09243ffff,400102,11.38516678415331
Mumbai,Jogeshwari West,89608b46567ffff,400102,10.050541992355164
Mumbai,Jogeshwari West,89608b46577ffff,400102,10.050656307241866
Mumbai,Jogeshwari West,89608b0929bffff,400102,10.296247964986557
Mumbai,Jogeshwari West,89608b4653bffff,400102,10.051811595402079
Mumbai,Jogeshwari West,89608b092cbffff,400102,10.225508302893479
Mumbai,Jogeshwari West,89608b4652fffff,400102,10.367861789969112
Mumbai,Mahim,89608b0a25bffff,400016,9.921693401623157
Mumbai,Mahim,89608b0b523ffff,400016,10.207079988431598
Mumbai,Mahim,89608b0a2d3ffff,400016,11.40702368273402
Mumbai,Mahim,89608b0b5a7ffff,400016,10.300296330431427
Mumbai,Mahim,89608b0b537ffff,400016,10.374484024839997
Mumbai,Mahim,89608b0b5a3ffff,400016,10.19702093374943
Mumbai,Mahim,89608b0b527ffff,400016,10.524324651572785
Mumbai,Mahim,89608b0b5afffff,400016,11.044504101846957
Mumbai,Mahim,89608b0b533ffff,400016,10.080340449288162
Mumbai,Mahim,89608b0a66bffff,400016,11.490525347145116
Mumbai,Mahim,89608b0a2dbffff,400016,10.524406750231835
Mumbai,Mahim,89608b0a67bffff,400016,10.653703016506352
Mumbai,Mahim,89608b0a2cbffff,400016,10.187931658534849
Mumbai,Mahim,89608b0b5b7ffff,400016,10.186518386703781
Mumbai,Mahim,89608b0a2c3ffff,400016,10.126944826690867
Mumbai,Dadar West,89608b0a29bffff,400016,11.387261982125649
Mumbai,Dadar West,89608b0a667ffff,400016,11.879712491787759
Mumbai,Dadar West,89608b0a677ffff,400016,10.830182214566301
Mumbai,Shivaji Park,89608b0a66fffff,400016,11.349089498217056
Mumbai,Shivaji Park,89608b0a2d7ffff,400016,11.180730809142188
Mumbai,Matunga West,89608b0a673ffff,400016,10.513792940636318
Mumbai,Matunga West,89608b0a663ffff,400016,11.45868476102728
Mumbai,Mahim,89608b0b52bffff,400050,10.97931521276459
Mumbai,Mahim,89608b0b52fffff,400050,11.034588073922107
Mumbai,Mahim,89608b0b197ffff,400050,10.97931521276459
Mumbai,Pali Hills,89608b0869bffff,400050,11.201642250172831
Mumbai,Pali Hills,89608b08693ffff,400050,11.484776957817587
Mumbai,Pali Hills,89608b0b12bffff,400050,11.827444213737493
Mumbai,Pali Hills,89608b086d3ffff,400050,12.274926505166615
Mumbai,Pali Hills,89608b0b16fffff,400050,12.341744684257185
Mumbai,Pali Hills,89608b0b167ffff,400050,12.299434477553152
Mumbai,Pali Hills,89608b08683ffff,400050,11.343157120114352
Mumbai,Pali Hills,89608b08697ffff,400050,11.588903093139013
Mumbai,Bandra West,89608b084dbffff,400050,12.06644644266656
Mumbai,Bandra West,89608b0b103ffff,400050,12.236938039818
Mumbai,Bandra West,89608b0b177ffff,400050,11.77428025964332
Mumbai,Bandra West,89608b0b133ffff,400050,11.855975679603887
Mumbai,Bandra West,89608b0b18fffff,400050,11.60770248224914
Mumbai,Bandra West,89608b0b10bffff,400050,11.98592498903379
Mumbai,Bandra West,89608b0b113ffff,400050,11.737343531247362
Mumbai,Bandra West,89608b0b127ffff,400050,11.332008553052619
Mumbai,Bandra West,89608b0b1a3ffff,400050,12.076689149589516
Mumbai,Bandra West,89608b0845bffff,400050,11.958799082170724
Mumbai,Bandra West,89608b0b18bffff,400050,10.97931521276459
Mumbai,Bandra West,89608b0b1abffff,400050,11.868003628427939
Mumbai,Bandra West,89608b0b10fffff,400050,12.35632289753643
Mumbai,Bandra West,89608b0b13bffff,400050,12.181899425185204
Mumbai,Bandra West,89608b0b107ffff,400050,11.764804571814262
Mumbai,Bandra West,89608b0b12fffff,400050,11.432026629919829
Mumbai,Bandra West,89608b0b187ffff,400050,10.97931521276459
Mumbai,Bandra West,89608b0b183ffff,400050,11.144887934237673
Mumbai,Bandra West,89608b0b1afffff,400050,12.093836338084929
Mumbai,Bandra West,89608b0b123ffff,400050,11.864143309743023
Mumbai,Bandra West,89608b084cbffff,400050,12.007907746078416
Mumbai,Bandra West,89608b0b11bffff,400050,12.01022026270267
Mumbai,Bandra West,89608b0a26bffff,400050,12.565441697876558
Mumbai,Bandra West,89608b084d3ffff,400050,12.28537981164505
Mumbai,Bandra West,89608b0849bffff,400050,11.117665125347516
Mumbai,Bandra West,89608b0a26fffff,400050,11.121620559518169
Mumbai,Bandra West,89608b0b1bbffff,400050,11.61563024030605
Mumbai,Bandra West,89608b0b137ffff,400050,11.776113351447032
Mumbai,Bandra West,89608b084c3ffff,400050,11.323235715071553
Mumbai,Bandra West,89608b0b117ffff,400050,11.606224782843329
Mumbai,Bandra West,89608b0848bffff,400050,12.418933943733709
Mumbai,Bandra West,89608b0b1a7ffff,400050,12.125551267883129
Mumbai,Bandra West,89608b08483ffff,400050,13.063003571788757
Mumbai,Bandra West,89608b0b1b7ffff,400050,12.565441697876558
Mumbai,Bandra West,89608b084d7ffff,400050,11.327224061123541
Mumbai,Khar West,89608b0b163ffff,400050,11.806087652657116
Mumbai,Khar West,89608b0b147ffff,400050,12.507413024473452
Mumbai,Khar West,89608b0b173ffff,400050,12.080171870344206
Mumbai,Khar West,89608b0b157ffff,400050,12.396454641034266
Mumbai,Manori,89608b44147ffff,400067,10.444458306739483
Mumbai,Manori,89608b44177ffff,400067,10.444458306739483
Mumbai,Manori,89608b4410fffff,400067,10.444458306739483
Mumbai,Manori,89608b44173ffff,400067,10.444458306739483
Mumbai,Manori,89608b4414fffff,400067,10.444458306739483
Mumbai,Manori,89608b4417bffff,400067,10.444458306739483
Mumbai,Manori,89608b44123ffff,400067,10.444458306739483
Mumbai,Manori,89608b44137ffff,400067,10.444458306739483
Mumbai,Manori,89608b443b7ffff,400067,10.444458306739483
Mumbai,Borivali West,89608b44637ffff,400067,11.220726988233926
Mumbai,Borivali West,89608b446a3ffff,400067,11.043771071968958
Mumbai,Borivali West,89608b44617ffff,400067,10.53596654173988
Mumbai,Borivali West,89608b446abffff,400067,11.184087466621728
Mumbai,Borivali West,89608b446afffff,400067,11.804690835673167
Mumbai,Borivali West,89608b446bbffff,400067,11.607390644841926
Mumbai,Borivali West,89608b440cbffff,400067,10.616191819125198
Mumbai,Borivali West,89608b440dbffff,400067,11.087267259382749
Mumbai,Gorai,89608b4438fffff,400067,10.444458306739483
Mumbai,Gorai,89608b443bbffff,400067,10.444458306739483
Mumbai,Gorai,89608b4438bffff,400067,10.444458306739483
Mumbai,Gorai,89608b44317ffff,400067,10.444458306739483
Mumbai,Gorai,89608b443b3ffff,400067,10.444458306739483
Mumbai,Gorai,89608b44313ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44023ffff,400067,10.583443816903678
Mumbai,Kandivali West,89608b44027ffff,400067,10.524294472587107
Mumbai,Kandivali West,89608b44053ffff,400067,10.493824859778343
Mumbai,Kandivali West,89608b441c7ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44103ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44063ffff,400067,10.600558075871174
Mumbai,Kandivali West,89608b44447ffff,400067,10.864772710433707
Mumbai,Kandivali West,89608b4440bffff,400067,10.587158748371985
Mumbai,Kandivali West,89608b44457ffff,400067,10.73490970804038
Mumbai,Kandivali West,89608b444cfffff,400067,10.581670943772123
Mumbai,Kandivali West,89608b44423ffff,400067,10.540210224010451
Mumbai,Kandivali West,89608b441dbffff,400067,10.532368513384904
Mumbai,Kandivali West,89608b44477ffff,400067,10.527787162679397
Mumbai,Kandivali West,89608b440c7ffff,400067,10.572153747284121
Mumbai,Kandivali West,89608b440c3ffff,400067,10.734969678822505
Mumbai,Kandivali West,89608b44463ffff,400067,10.578525241975807
Mumbai,Kandivali West,89608b44097ffff,400067,10.632818453559565
Mumbai,Kandivali West,89608b44437ffff,400067,10.869956123967794
Mumbai,Kandivali West,89608b440bbffff,400067,10.504678653755834
Mumbai,Kandivali West,89608b446a7ffff,400067,11.032198742606504
Mumbai,Kandivali West,89608b4447bffff,400067,10.661689657386106
Mumbai,Kandivali West,89608b444cbffff,400067,11.432052782372194
Mumbai,Kandivali West,89608b440d3ffff,400067,11.415260346970346
Mumbai,Kandivali West,89608b440a3ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44453ffff,400067,10.552879448342129
Mumbai,Kandivali West,89608b44013ffff,400067,10.583289164697502
Mumbai,Kandivali West,89608b4444bffff,400067,12.090199445379223
Mumbai,Kandivali West,89608b4712fffff,400067,10.526225590477106
Mumbai,Kandivali West,89608b445cbffff,400067,10.53070551636678
Mumbai,Kandivali West,89608b4441bffff,400067,10.723264842004603
Mumbai,Kandivali West,89608b44153ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b4400fffff,400067,10.63729612808912
Mumbai,Kandivali West,89608b4445bffff,400067,10.859243120966138
Mumbai,Kandivali West,89608b44397ffff,400067,10.716543147420808
Mumbai,Kandivali West,89608b4406bffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44417ffff,400067,10.598729458209881
Mumbai,Kandivali West,89608b4405bffff,400067,10.715960188218773
Mumbai,Kandivali West,89608b4402bffff,400067,10.525751568618603
Mumbai,Kandivali West,89608b4442bffff,400067,10.729601962549784
Mumbai,Kandivali West,89608b44697ffff,400067,11.286724951878078
Mumbai,Kandivali West,89608b44143ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b440afffff,400067,10.521771672005466
Mumbai,Kandivali West,89608b44047ffff,400067,10.535983182432389
Mumbai,Kandivali West,89608b4403bffff,400067,10.497507506452889
Mumbai,Kandivali West,89608b44003ffff,400067,10.538523369023551
Mumbai,Kandivali West,89608b44043ffff,400067,10.513297115958716
Mumbai,Kandivali West,89608b4407bffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b4400bffff,400067,11.037914067854157
Mumbai,Kandivali West,89608b44007ffff,400067,10.522703805398466
Mumbai,Kandivali West,89608b4411bffff,400067,10.504185196538751
Mumbai,Kandivali West,89608b44553ffff,400067,10.727259500026015
Mumbai,Kandivali West,89608b47127ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44473ffff,400067,10.608693031043599
Mumbai,Kandivali West,89608b4455bffff,400067,10.489441065304934
Mumbai,Kandivali West,89608b4444fffff,400067,12.090199445379223
Mumbai,Kandivali West,89608b440d7ffff,400067,10.664216108991335
Mumbai,Kandivali West,89608b44033ffff,400067,10.55183131827556
Mumbai,Kandivali West,89608b44407ffff,400067,10.565218900561568
Mumbai,Kandivali West,89608b4406fffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b4409bffff,400067,10.787547205047852
Mumbai,Kandivali West,89608b441cfffff,400067,10.516282175169211
Mumbai,Kandivali West,89608b44487ffff,400067,10.522870745025182
Mumbai,Kandivali West,89608b440cfffff,400067,10.525906038991142
Mumbai,Kandivali West,89608b4402fffff,400067,10.808499476095639
Mumbai,Kandivali West,89608b4414bffff,400067,10.542207087108249
Mumbai,Kandivali West,89608b4454fffff,400067,10.499601073303259
Mumbai,Kandivali West,89608b444abffff,400067,10.534166499124739
Mumbai,Kandivali West,89608b44387ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b444c3ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b44087ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b440b3ffff,400067,10.516080853211967
Mumbai,Kandivali West,89608b44067ffff,400067,10.539004261447445
Mumbai,Kandivali West,89608b44017ffff,400067,10.668353786089872
Mumbai,Kandivali West,89608b44057ffff,400067,10.51734986456714
Mumbai,Kandivali West,89608b4446bffff,400067,11.103181172357901
Mumbai,Kandivali West,89608b44433ffff,400067,11.025497350892794
Mumbai,Kandivali West,89608b44037ffff,400067,10.729632133982394
Mumbai,Kandivali West,89608b446b7ffff,400067,11.059889289249229
Mumbai,Kandivali West,89608b44427ffff,400067,10.444458306739483
Mumbai,Kandivali West,89608b440abffff,400067,10.648985905665812
